"name","count"
"Construction work",9310
"Architectural, construction, engineering and inspection services",5623
"Cleaning services",3876
"Building construction work",3816
"Building-cleaning services",3813
"Pharmaceutical products",3596
"Engineering services",3314
"Insurance services",3283
"IT services: consulting, software development, Internet and support",3116
"Medical equipments",3028
