"name","count"
"Κατασκευαστικές εργασίες",11662
"Υπηρεσίες αρχιτεκτονικής, κατασκευαστικών έργων, έργων πολιτικού μηχανικού και επίβλεψης",5893
"Φαρμακευτικά προϊόντα",4247
"Υπηρεσίες καθαρισμού κτιρίων",4067
"Ιατρικές συσκευές",3958
"Εργασίες κατασκευής κτιρίων",3954
"Υπηρεσίες καθαρισμού",3944
"Υπηρεσίες χορήγησης πίστωσης",3762
"Υπηρεσίες ασφάλισης",3536
"Υπηρεσίες τεχνολογίας των πληροφοριών: παροχή συμβουλών, ανάπτυξη λογισμικού, Διαδίκτυο και υποστήριξη",3476
