3221113;"Onions.";"1121113";"Onions."
3221114;"Turnips.";"1121114";"Turnips."
3221120;"Tuber vegetables.";"1121120";"Tuber vegetables."
3221200;"Fruit vegetables.";"1121200";"Fruit vegetables."
3221210;"Beans.";"1121210";"Beans."
3221211;"Broad beans.";"1121211";"Broad beans."
3221212;"Green beans.";"1121212";"Green beans."
3221213;"Runner beans.";"1121213";"Runner beans."
3221220;"Peas.";"1121220";"Peas."
3221221;"Garden peas.";"1121221";"Garden peas."
3221222;"Mange-tout.";"1121222";"Mange-tout."
3221230;"Peppers.";"1121230";"Peppers."
3221240;"Tomatoes.";"1121240";"Tomatoes."
3221250;"Courgettes.";"1121250";"Courgettes."
3221260;"Mushrooms.";"1121260";"Mushrooms."
3221270;"Cucumbers.";"1121270";"Cucumbers."
3221300;"Leaf vegetables.";"1121300";"Leaf vegetables."
3221310;"Lettuce.";"1121310";"Lettuce."
3221320;"Salad leaves.";"1121320";"Salad leaves."
3221330;"Artichokes.";"1121330";"Artichokes."
3221340;"Spinach.";"1121340";"Spinach."
3221400;"Cabbage vegetables.";"1121400";"Cabbage vegetables."
3221410;"Cabbage.";"1121410";"Cabbage."
3221420;"Cauliflower.";"1121420";"Cauliflower."
3221430;"Broccoli.";"1121430";"Broccoli."
3221440;"Brussels sprouts.";"1121440";"Brussels sprouts."
3222000;"Fruit and nuts.";"1131000";"Fruit and nuts."
3222100;"Tropical fruit and nuts.";"1131100";"Tropical fruit and nuts."
3222110;"Tropical fruit.";"1131110";"Tropical fruit."
3222111;"Bananas.";"1131111";"Bananas."
3222112;"Pineapples.";"1131112";"Pineapples."
3222113;"Mangoes.";"1131113";"Mangoes."
3222114;"Dates.";"1131114";"Dates."
3222115;"Raisins.";"1131115";"Raisins."
3222116;"Figs.";"1131116";"Figs."
3222117;"Avocados.";"1131117";"Avocados."
3222118;"Kiwi fruit.";"1131118";"Kiwi fruit."
3222120;"Coconuts.";"1131120";"Coconuts."
3222200;"Citrus fruit.";"1131200";"Citrus fruit."
3222210;"Lemons.";"1131210";"Lemons."
3222220;"Oranges.";"1131220";"Oranges."
3222230;"Grapefruit.";"1131230";"Grapefruit."
3222240;"Tangerines.";"1131240";"Tangerines."
3222250;"Limes.";"1131250";"Limes."
3222300;"Non-tropical fruit.";"1131300";"Non-tropical fruit."
3222310;"Berry fruit.";"1131310";"Berry fruit."
3222311;"Currants.";"1131311";"Currants."
3222312;"Gooseberries.";"1131312";"Gooseberries."
3222313;"Strawberries.";"1131313";"Strawberries."
3222314;"Raspberries.";"1131314";"Raspberries."
3222315;"Cranberries.";"1131315";"Cranberries."
3222320;"Apples, pears and quinces.";"1131320";"Apples, pears and quinces."
3222321;"Apples.";"1131321";"Apples."
3222322;"Pears.";"1131322";"Pears."
3222323;"Quinces.";"1131323";"Quinces."
3222330;"Stone fruit.";"1131330";"Stone fruit."
3222331;"Apricots.";"1131331";"Apricots."
3222332;"Peaches.";"1131332";"Peaches."
3222333;"Cherries.";"1131333";"Cherries."
3222334;"Plums.";"1131334";"Plums."
3222340;"Grapes.";"1131340";"Grapes."
3222341;"Table grapes.";"1131341";"Table grapes."
3222342;"Wine grapes.";"1131342";"Wine grapes."
3222400;"Olives.";"1131400";"Olives."
3300000;"Farming, hunting and fishing products.";"1122100";"Live plants, bulbs, roots, cuttings and slips."
3310000;"Fish, crustaceans and aquatic products.";"5000000";"Fish, fishing products and other by-products of the fishing industry."
3311000;"Fish.";"5100000";"Fish."
;"#N/A";"5110000";"Live fish."
;"#N/A";"5120000";"Fish, fresh or chilled."
3311100;"Flat fish.";"5121000";"Flat fish, fresh or chilled."
3311110;"Sole.";"5121100";"Sole, fresh or chilled."
3311120;"Plaice.";"5121200";"Plaice, fresh or chilled."
3311200;"Fish of the cod family.";"5122000";"Fish of the cod family, fresh or chilled."
3311210;"Cod.";"5122100";"Cod, fresh or chilled."
3311220;"Pollock.";"5122200";"Pollock, fresh or chilled."
3311230;"Hake.";"5122300";"Hake, fresh or chilled."
3311240;"Haddock.";"5122400";"Haddock, fresh or chilled."
3311300;"Herring.";"5123000";"Herring, fresh or chilled."
;;"15234200";"Smoked herring."
3311400;"Tuna.";"5124000";"Tuna, fresh or chilled."
3311500;"Whiting.";"5125000";"Whiting, fresh or chilled."
3311600;"Whitebait.";"5126000";"Whitebait, fresh or chilled."
3311700;"Salmon.";"5127000";"Salmon, fresh or chilled."
;;"15234100";"Smoked salmon."
3312000;"Crustaceans.";"5200000";"Crustaceans."
;"#N/A";"5210000";"Fresh crustaceans."
3312100;"Oysters.";"5220000";"Oysters."
3312200;"Shellfish.";"5230000";"Shellfish."
3312300;"Aquatic invertebrates.";"5240000";"Aquatic invertebrates."
3313000;"Aquatic products.";"5300000";"Aquatic products."
3313100;"Corals or similar products.";"5310000";"Corals or similar products."
3313200;"Natural sponges.";"5320000";"Natural sponges."
3313300;"Seaweeds.";"5330000";"Seaweeds."
3313310;"Algae.";"5331000";"Algae."
3320000;"Cattle, livestock and small animals.";"1200000";"Live animals and animal products."
;;"1210000";"Cattle and their products."
3321000;"Cattle.";"1211000";"Cattle."
3321100;"Bovine cattle.";"1211100";"Live bovine cattle."
3321200;"Calves.";"1211200";"Calves."
3322000;"Livestock.";"1221000";"Livestock."
3322100;"Sheep.";"1221100";"Sheep."
3322200;"Goats.";"1221200";"Goats."
3322300;"Horses.";"1221300";"Horses."
3323000;"Pigs.";"1230000";"Pigs."
3324000;"Live poultry.";"1240000";"Live poultry and eggs."
;"#N/A";"1241000";"Live poultry."
3325000;"Small animals.";"1250000";"Small live animals and their products."
3325100;"Rabbits.";"1251000";"Rabbits and hares."
;"#N/A";"1251100";"Rabbits."
3325200;"Hares.";"1251000";"Rabbits and hares."
;;"1251200";"Hares."
3330000;"Farm animal products.";"1220000";"Farm animals and their products."
3331000;"Fresh milk from sheep and goats.";"1222000";"Fresh milk from sheep and goats."
3331100;"Sheep's milk.";"1222100";"Sheep's milk."
3331200;"Goats' milk.";"1222200";"Goats' milk."
3332000;"Wool and animal hair.";"1223000";"Wool and animal hair."
3332100;"Shorn wool.";"1223100";"Shorn wool."
3332200;"Animal hair.";"1223200";"Animal hair."
3333000;"Fresh cows' milk.";"1212000";"Fresh cows' milk."
3340000;"Animal ear tags.";"36940000";"Animal ear tags."
3341000;"Bovine ear tags.";"36941000";"Bovine ear tags."
3400000;"Forestry and logging products.";"2000000";"Forestry and logging products."
3410000;"Wood.";"2100000";"Wood."
;;"20000000";"Wood, wood products, cork products, basketware and wickerwork."
;;"20160000";"Prepared or treated wooden products."
;;"20161000";"Treated wood."
;;"20200000";"Wooden sheets and veneers."
;;"20500000";"Articles of wood and cork."
;;"20510000";"Products of wood and related articles."
3411000;"Coniferous wood.";"2110000";"Coniferous wood."
3412000;"Tropical wood.";"2120000";"Tropical wood."
3413000;"Fuel wood.";"2130000";"Fuel wood."
3414000;"Rough wood.";"2140000";"Rough wood."
3415000;"Softwood.";"2150000";"Softwood."
;"#N/A";"20100000";"Sawn wood."
;"#N/A";"20130000";"Prepared softwood."
3416000;"Wood waste.";"2160000";"Wood waste."
3417000;"Scrap wood.";"2170000";"Scrap wood."
3417100;"Sawdust.";"20170000";"Sawdust."
3418000;"Logs.";"2180000";"Logs."
3418100;"Hardwood.";"20100000";"Sawn wood."
;;"20140000";"Hardwood."
3419000;"Timber.";"2190000";"Timber."
3419100;"Timber products.";"2191000";"Timber products."
3419200;"Mining timber.";"20100000";"Sawn wood."
;"#N/A";"20120000";"Mining timber."
3420000;"Gums.";"2200000";"Gums."
3421000;"Balsams.";"2210000";"Balsams."
3422000;"Lac.";"2220000";"Lac."
3430000;"Cork.";"2300000";"Cork."
;"#N/A";"20000000";"Wood, wood products, cork products, basketware and wickerwork."
;"#N/A";"20500000";"Articles of wood and cork."
;"#N/A";"20520000";"Articles of cork, basketware and wickerwork."
3431000;"Natural cork.";"20522000";"Natural cork."
3432000;"Basketware.";"20000000";"Wood, wood products, cork products, basketware and wickerwork."
;"#N/A";"20520000";"Articles of cork, basketware and wickerwork."
;"#N/A";"20521000";"Basketware."
3432100;"Wickerwork.";"20000000";"Wood, wood products, cork products, basketware and wickerwork."
;;"20520000";"Articles of cork, basketware and wickerwork."
;;"20521100";"Wickerwork."
3440000;"Forestry products.";"2400000";"Forestry products."
3441000;"Ornamental plants, grasses, mosses or lichens.";"2410000";"Ornamental plants, grasses, mosses or lichens."
3450000;"Tree-nursery products.";"2500000";"Tree-nursery products."
3451000;"Plants.";"2510000";"Plants."
3451100;"Bedding plants.";"2511000";"Bedding plants."
3451200;"Flower bulbs.";"2512000";"Flower bulbs."
3451300;"Shrubs.";"2513000";"Shrubs."
3452000;"Trees.";"2520000";"Trees."
3460000;"Pulp.";"21000000";"Various types of pulp, paper and paper products."
;"#N/A";"21100000";"Pulp, paper and paperboard."
;"#N/A";"21110000";"Pulp."
3461000;"Wood pulp.";"21111000";"Wood pulp."
3461100;"Chemical wood pulp.";"21111100";"Chemical wood pulp."
9000000;"Petroleum products, fuel, electricity and other sources of energy.";"11000000";"Petroleum, natural gas, oil and associated products."
;;"40000000";"Electricity, gas, nuclear energy and fuels, steam, hot water and other sources of energy."
9100000;"Fuels.";"10120000";"Coal-based fuels."
;"#N/A";"11000000";"Petroleum, natural gas, oil and associated products."
;"#N/A";"23000000";"Petroleum products and fuels."
;"#N/A";"23100000";"Refined petroleum products."
9110000;"Solid fuels.";"10123000";"Solid fuels."
9111000;"Coal and coal-based fuels.";"10100000";"Coal and coal-based fuels."
9111100;"Coal.";"10110000";"Coal."
9111200;"Coal-based fuels.";"10120000";"Coal-based fuels."
9111210;"Hard coal.";"10121000";"Hard coal."
9111220;"Briquettes.";"10122000";"Briquettes."
9111300;"Fossil fuels.";"10124000";"Fossil fuels."
9111400;"Wood fuels.";"10125000";"Wood fuels."
9112000;"Lignite and peat.";"10200000";"Lignite and peat."
9112100;"Lignite.";"10210000";"Lignite."
9112200;"Peat.";"10220000";"Peat."
9113000;"Coke.";"10320000";"Coke products."
;"#N/A";"10321000";"Coke."
9120000;"Gaseous fuels.";"11000000";"Petroleum, natural gas, oil and associated products."
;;"23200000";"Petroleum gases and other gaseous hydrocarbons, except natural gas."
;;"40200000";"Manufactured gas."
9121000;"Coal gas, mains gas or similar gases.";"10120000";"Coal-based fuels."
;"#N/A";"11000000";"Petroleum, natural gas, oil and associated products."
9121100;"Coal gas or similar gases.";"40210000";"Coal gas or similar gases."
9121200;"Mains gas.";"40220000";"Mains gas."
9122000;"Propane and butane.";"23210000";"Propane and butane."
9122100;"Propane gas.";"23211000";"Propane gas."
9122110;"Liquefied propane gas.";"23211100";"Liquefied propane gas."
9122200;"Butane gas.";"23212000";"Butane gas."
9122210;"Liquefied butane gas.";"23212100";"Liquefied butane gas."
9123000;"Natural gas.";"11200000";"Natural gas."
9130000;"Petroleum and distillates.";"11300000";"Oil and associated products."
;;"23000000";"Petroleum products and fuels."
;;"23110000";"Light and medium oils and derivate products."
;;"23111000";"Petrol and aviation fuel."
;;"23120000";"Heavy oils and derivate products."
9131000;"Aviation kerosene.";"23111100";"Aviation kerosene."
9131100;"Kerosene jet type fuels.";"23111110";"Kerosene jet type fuels."
9132000;"Petrol.";"11300000";"Oil and associated products."
9132100;"Unleaded petrol.";"23111200";"Unleaded petrol."
9132200;"Leaded petrol.";"23111300";"Leaded petrol."
9132300;"Petrol with ethanol.";"11300000";"Oil and associated products."
9133000;"Liquefied Petroleum Gas (LPG).";"11300000";"Oil and associated products."
9134000;"Gas oils.";"23121000";"Gas oils."
9134100;"Diesel oil.";"23121100";"Diesel oil."
9134200;"Diesel fuel.";"23121200";"Diesel fuel."
9134210;"Diesel fuel (0.2).";"11300000";"Oil and associated products."
9134220;"Diesel fuel (EN 590).";"11300000";"Oil and associated products."
9134230;"Biodiesel.";"/";"/"
9134231;"Biodiesel (B20).";"/";"/"
